gene,trial,K,train_cor_mean,test_cor_mean
ZSWIM5,0,1,-0.04881385382678774,0.02103766959487973
ZSWIM5,1,1,0.0080900342307157,0.016704993609280544
ZSWIM5,2,1,0.002341511038442453,0.0034925945611829954
ZSWIM5,3,1,-0.03416034413708581,-0.032489267647529116
ZSWIM5,4,1,-0.020467422074741788,7.978895360591067e-5
ZSWIM5,0,2,-0.09543614751762813,-0.07627131467875957
ZSWIM5,1,2,-0.1387170975924366,-0.04218580425787195
ZSWIM5,2,2,0.0018291758994261424,0.0015878096668042216
ZSWIM5,3,2,-0.04556548926565382,0.004056596637689978
ZSWIM5,4,2,-0.02872782780064477,0.010987412965448721
ZSWIM5,0,3,0.005415075562066502,-0.0017692203229018693
ZSWIM5,1,3,-0.044227886531088084,-0.05936231396255562
ZSWIM5,2,3,-0.010439937623838583,-0.009627888401256878
ZSWIM5,3,3,-0.020106872957613733,-0.019526808370430096
ZSWIM5,4,3,-0.1258574929088354,-0.08850916011663346
ZSWIM5,0,4,-0.15451557075397837,-0.12718464695564569
ZSWIM5,1,4,-0.07153181203951438,-0.053933687860261946
ZSWIM5,2,4,-0.13579368674092823,-0.17667876822515696
ZSWIM5,3,4,-0.0311766407556004,0.00610125685992109
ZSWIM5,4,4,0.017685735805167094,0.007185622377156666
ZSWIM5,0,5,-0.09575777865959229,-0.049877622031861385
ZSWIM5,1,5,0.0026068507383267083,0.04479520461856966
ZSWIM5,2,5,-0.07129639821747939,-0.08432821013189033
ZSWIM5,3,5,-0.04013827401730749,-0.0924349671880158
ZSWIM5,4,5,-0.013676186402638754,-0.011092761349968049
ZSWIM5,0,6,-0.13219394700394738,-0.1260183070348648
ZSWIM5,1,6,-0.021507514123287465,-0.05323581248411658
ZSWIM5,2,6,-0.14383867838316494,-0.15366419264064626
ZSWIM5,3,6,-0.11768581552637948,-0.15634471913419362
ZSWIM5,4,6,-0.09180878847837448,-0.06934952587959849
ZSWIM5,0,7,-0.060523694588078394,-0.10736857230702299
ZSWIM5,1,7,-0.08584477069477241,-0.034676013669176976
ZSWIM5,2,7,-0.032093495027058654,0.002600502060697211
ZSWIM5,3,7,-0.07671370481451352,-0.1049511833451435
ZSWIM5,4,7,-0.01809802185744047,0.02842932941915675
ZSWIM5,0,8,0.03436380955908033,-0.02287999373566499
ZSWIM5,1,8,-0.06059862217969365,-0.07699466391540633
ZSWIM5,2,8,-0.021634551955180034,-0.12019804963623303
ZSWIM5,3,8,-0.024732114126284916,-0.05175143990531189
ZSWIM5,4,8,-0.1812951018412908,-0.18535943369405125
ZSWIM5,0,9,-0.12761088874604967,-0.15210182584100115
ZSWIM5,1,9,-0.10819713978303803,-0.051009025296726636
ZSWIM5,2,9,0.034204366306463875,0.017008680645550802
ZSWIM5,3,9,-0.1495214578592115,-0.13214893517199794
ZSWIM5,4,9,-0.03721315351625284,-0.03353388984137849
SPN,0,1,0.1345862386127313,0.10142529677664981
SPN,1,1,0.03185741893119282,0.029512342833878966
SPN,2,1,0.08971111807558271,0.07632020488110383
SPN,3,1,0.09815131024354035,0.09077371020807348
SPN,4,1,0.028894721840818722,0.030682257047682935
SPN,0,2,0.26048311673932606,0.1703476799270698
SPN,1,2,0.18228388908836576,0.16665102537922316
SPN,2,2,0.13048606543775854,0.1485902885755127
SPN,3,2,0.22466645224226844,0.18781080598440494
SPN,4,2,0.1775237423264318,0.16102493265643114
SPN,0,3,0.1480961073603895,0.151466626736456
SPN,1,3,0.20130419234434763,0.13583501973982556
SPN,2,3,0.02933028692172633,0.007878409581277545
SPN,3,3,0.1855938517385059,0.14418911010476754
SPN,4,3,0.18047103782494864,0.14352871246802
SPN,0,4,0.11373652186658648,0.08646946372336932
SPN,1,4,0.18932870651284853,0.17352720065100474
SPN,2,4,0.19310250216060215,0.19552013091283627
SPN,3,4,0.12294951478704913,0.12677831343030824
SPN,4,4,0.17602977404991785,0.15202206345514013
SPN,0,5,0.21819953951570722,0.23347686631256648
SPN,1,5,0.13861165651016766,0.12464853856403904
SPN,2,5,0.27742516580555177,0.2716319392179997
SPN,3,5,0.10696603564752473,0.04835804661713957
SPN,4,5,0.09651563658068578,0.08162669071894949
SPN,0,6,0.1872060973611143,0.07673970519958748
SPN,1,6,0.17220424074265692,0.08096590289958933
SPN,2,6,0.1622743085026741,0.1542801458812737
SPN,3,6,0.12024644358704488,0.14422198136854641
SPN,4,6,0.11980732323394881,0.17136273541848596
SPN,0,7,0.08742596871323055,0.05351139562731418
SPN,1,7,0.15993731717268625,0.09409759244643924
SPN,2,7,0.11138472437030739,0.1646624837303667
SPN,3,7,0.11007362899060051,0.09709784596946958
SPN,4,7,0.24125463598304325,0.26944633384489874
SPN,0,8,0.17070776472489038,0.1610373821645121
SPN,1,8,0.1566214453842905,0.05251702994321625
SPN,2,8,0.2726781881517834,0.28519076245317615
SPN,3,8,0.023441439494490623,0.018090315424659095
SPN,4,8,0.09248489286336634,0.1938353235304218
SPN,0,9,0.07995736252309547,0.017905543464165077
SPN,1,9,0.25272543500694966,0.19031522729081848
SPN,2,9,0.11535706226196554,0.13775700233500746
SPN,3,9,0.12458744769295056,0.12923445352103313
SPN,4,9,0.12762219665779007,0.09210451070952709
BANK1,0,1,0.04828537338309818,0.035165925962970586
BANK1,1,1,0.0015652372191349666,-0.0026443297904356973
BANK1,2,1,0.025976661385761365,0.025055507383187403
BANK1,3,1,0.039203595370054245,-0.0033596157271566646
BANK1,4,1,0.004975434340950515,-0.005254645471000501
BANK1,0,2,-0.005224882469822963,-0.0011826455804853518
BANK1,1,2,0.060220849596791796,0.04059474220290096
BANK1,2,2,-9.595377681155999e-5,0.03416380340494136
BANK1,3,2,0.04864144516048125,0.030354082196682577
BANK1,4,2,-0.04959143470558855,-0.012749532635820139
BANK1,0,3,0.03713682004147106,-0.008051737763737018
BANK1,1,3,0.06158167548063728,0.004997597244139385
BANK1,2,3,0.07734905431667964,0.049755946995390384
BANK1,3,3,0.050136135373678475,0.05430301579792542
BANK1,4,3,0.054227054946952395,0.02567790560392889
