Gene,0 - shot learning mean correlation,0 - shot learning correlation stddev,1 - shot learning mean correlation,1 - shot learning correlation stddev,2 - shot learning mean correlation,2 - shot learning correlation stddev,3 - shot learning mean correlation,3 - shot learning correlation stddev,4 - shot learning mean correlation,4 - shot learning correlation stddev,5 - shot learning mean correlation,5 - shot learning correlation stddev,6 - shot learning mean correlation,6 - shot learning correlation stddev,7 - shot learning mean correlation,7 - shot learning correlation stddev,8 - shot learning mean correlation,8 - shot learning correlation stddev,9 - shot learning mean correlation,9 - shot learning correlation stddev,10 - shot learning mean correlation,10 - shot learning correlation stddev
PTPN18,0.0399794749728244,0.27833402090673237,0.005733793881776747,0.2501242929105836,0.002895164268444848,0.23456306599949908,0.02028271789640923,0.27111515070236025,0.007555508854228197,0.28549773576457316,0.028596989950832558,0.27106914500037316,0.017642025760229076,0.31131874337256277,0.009872464915159472,0.3057253506835562,0.02538608680678376,0.28640393306121514,0.03740678353888035,0.29403408990812535,0.0013158136371959324,0.32593642020272356
CHP1,0.21438443708166396,0.16167125277071615,0.19276930620946686,0.17281014959248964,0.18947051951873392,0.1781287672942045,0.17022404681162995,0.20023941663052436,0.1749812663755999,0.19666995144746624,0.18765515506937896,0.20575029512769752,0.18177583520432586,0.23093495865691852,0.21856728518530766,0.2184888402561177,0.20307752990114925,0.20737204273335605,0.18132363821727632,0.2508221294979762,0.17679976359727612,0.23942747362669886
FPGT,0.03159299965723115,0.22039461961494197,0.036798547016263825,0.19942686965466147,0.0338533973667351,0.22831037753415873,0.044972354819384365,0.23622515908494726,0.0493593477199304,0.25251987015262206,0.058702100218586246,0.25394765178909307,0.05839734123205828,0.27037316599075567,0.03831529087443112,0.2938364462538092,0.05658544326927747,0.3015778894461984,0.060165072538910035,0.30616093063525524,0.07444125838762669,0.2792954237064894
LRRC72,-0.15600211042897602,0.09718777898514128,-0.14437273289917613,0.1022386111970824,-0.16119225227546005,0.08758082317348936,-0.15476188091312906,0.0954217477639283,-0.1450093410637638,0.10519514092859579,-0.14866903944308568,0.11558374038804267,-0.16281773105933572,0.1205638843018797,-0.1684375890252789,0.11667122149003473,-0.17165144352679748,0.11639315713140323,-0.15568782680901902,0.1412316256388595,-0.19079544753977448,0.1387465002758736
ADTRP,-0.08688235653117962,0.08688388090326803,-0.08926668668371605,0.1309118995747844,-0.05195426503489849,0.1360014248292193,-0.05780681438418134,0.16285888117136157,-0.04598823039625247,0.19654419299283118,-0.056936299037133396,0.1959301308327304,-0.05860871157256157,0.18303986163286814,-0.1011038957332215,0.2048058222118153,-0.04243375740216608,0.19199904898431908,-0.0035987349752663305,0.20430216488509648,-0.06431439597075067,0.22771596475029005
IMMP2L,0.017634040030641066,0.19217069767862588,0.005144730178437619,0.18068766091865296,0.0025001021559033568,0.1916467993829053,0.017870778109131746,0.1828539570064759,0.0055750230427352495,0.21267528569659616,0.012697076456588215,0.20501337345202514,0.028158224297457915,0.18695766057179222,0.016463823731232227,0.2108549979353318,0.041931234489623284,0.2213316106767382,0.07153210148471903,0.2250989191107431,0.041346532551841786,0.2430667917242724
URGCP,0.1859669651229388,0.12239724543665782,0.16281459937819656,0.16355663668017195,0.1739540633650221,0.17228690429237634,0.16956590077032407,0.17159895893383298,0.176165554724502,0.18495336071356253,0.14794362319207732,0.20920055117477535,0.15703175934555672,0.192121661683589,0.18589540822593328,0.17460733766462322,0.13469233938395062,0.22399515996334313,0.16169320177494736,0.20510109469554413,0.18078561669343773,0.2257017575525828
GALNT14,0.032353581082104836,0.2653778303055744,0.008621710223346433,0.25130468555077556,0.027686578957468195,0.2536944121330522,0.03577392424713106,0.256989767631427,0.018364109736128644,0.26998186162859866,0.0093022496172343,0.28980176238259187,0.04300482531110611,0.28548009791759593,0.0682033454492141,0.28225330710608215,-0.004479447710627209,0.30961117101856866,0.00748385474409016,0.30975088999314626,0.05647081862708759,0.33349983158623436
SLC7A11,-0.04655186242929155,0.1448635752067878,-0.06287798554764572,0.15550344436676802,-0.05048214968877793,0.16642102039499862,-0.05727760261969804,0.1447736414218712,-0.0348634757229796,0.14548887812457023,-0.0819571327431111,0.17599614086693718,-0.06613759675839333,0.20981303196928439,-0.01998904242547555,0.15967111122426492,-0.053612084636704936,0.22260210244540796,-0.03871108636873605,0.20236958626844945,-0.07188714101277918,0.24666827409151285
SFT2D2,0.06455276064448451,0.2046843136557908,0.08256969666884807,0.1899830373269198,0.08101830532536947,0.18204078039795868,0.07398710324354886,0.2076811905499526,0.09031886837739873,0.20277134582017178,0.068862614539228,0.21649148206658084,0.042335747284005666,0.20767770096138755,0.0730822778438441,0.23476370177170694,0.05588992084250539,0.2515936425743107,0.09925105422146299,0.2527251145342523,0.06273834837836102,0.25283669944528675
